date,day_of_week,time_of_day,clinic,clinic_type,urban_rural,appointment_type,appointments,avg_appointment_duration,clinic_open_hours,appointment_lead_time,walk_ins,emergencies,staff_count,weather,transport_access_score,walk_in_policy,cancellation_rate,cancellations,no_shows,no_show_rate,staff_nurses,staff_doctors,triage_score_avg,power_outage,equipment_downtime,patients_served,avg_wait_time,efficiency_score,staff_per_patient,complaints_received
2025-04-29,Tuesday,Morning,Clinic_1,General,Urban,Routine,87,11.3,8,27,8,1,6,Storm,0.26,Strict,0.03,2,10,0.11,1,5,2.62,0,0,84,34.02,10.6,0.07,10
2025-02-21,Friday,Afternoon,Clinic_26,Chronic,Urban,Routine,65,11.9,9,11,26,3,6,Cloudy,0.53,Open,0.12,7,2,0.03,5,1,2.0,0,0,85,37.7,10.4,0.07,12
2025-05-04,Sunday,Morning,Clinic_7,Maternal,Rural,Routine,36,18.4,9,14,26,5,4,Rain,0.9,Strict,0.03,1,4,0.11,3,1,1.27,0,1,62,54.92,10.01,0.06,12
2025-02-28,Friday,Morning,Clinic_6,Chronic,Rural,Follow-up,86,14.3,9,28,30,4,4,Clear,0.33,Strict,0.03,2,6,0.07,3,1,2.93,0,1,112,73.95,20.61,0.04,20
2024-12-16,Monday,Evening,Clinic_16,Maternal,Urban,Follow-up,79,14.4,8,18,13,3,7,Clear,0.8,Strict,0.1,7,5,0.06,6,1,2.28,1,0,83,57.36,6.12,0.08,17
2025-01-31,Friday,Morning,Clinic_22,Maternal,Rural,Routine,36,28.8,10,7,23,3,5,Clear,0.7,Moderate,0.03,1,2,0.06,1,4,2.37,0,0,59,26.27,9.17,0.08,4
2025-05-27,Tuesday,Afternoon,Clinic_13,Maternal,Rural,Follow-up,114,16.3,8,0,23,4,8,Cloudy,0.7,Open,0.19,21,13,0.11,2,6,3.45,0,0,107,50.34,8.34,0.07,17
2025-05-14,Wednesday,Morning,Clinic_12,Pediatric,Urban,Follow-up,42,26.7,10,9,7,4,6,Clear,0.73,Open,0.11,4,5,0.12,2,4,2.05,1,1,44,61.91,1.14,0.14,17
2025-04-13,Sunday,Afternoon,Clinic_20,Maternal,Rural,Routine,68,23.7,9,16,26,0,5,Cloudy,0.4,Strict,0.07,4,6,0.09,1,4,3.6,0,0,84,25.3,14.27,0.06,10
2025-03-22,Saturday,Afternoon,Clinic_6,Chronic,Rural,Urgent,41,10.2,8,30,25,3,7,Rain,0.64,Moderate,0.03,1,4,0.1,3,4,2.29,0,0,64,30.76,6.07,0.11,4
2025-03-11,Tuesday,Morning,Clinic_29,Pediatric,Urban,Urgent,104,15.0,8,11,22,1,9,Cloudy,0.98,Open,0.04,4,9,0.09,5,4,2.75,0,1,114,63.09,6.36,0.08,16
2025-04-29,Tuesday,Afternoon,Clinic_26,Maternal,Rural,Routine,49,25.7,8,12,12,1,5,Clear,0.89,Strict,0.18,8,2,0.04,1,4,2.15,0,1,52,46.78,5.72,0.1,12
2025-02-13,Thursday,Afternoon,Clinic_11,Pediatric,Urban,Follow-up,55,17.0,10,12,19,2,7,Storm,0.95,Strict,0.17,9,3,0.05,2,5,2.86,0,0,64,30.49,6.09,0.11,10
2025-06-03,Tuesday,Afternoon,Clinic_14,Emergency,Urban,Follow-up,63,28.0,8,8,10,4,7,Clear,0.77,Strict,0.03,1,4,0.06,5,2,2.27,0,0,72,28.94,7.39,0.1,6
2025-04-10,Thursday,Evening,Clinic_11,General,Rural,Urgent,96,16.2,9,10,30,4,6,Cloudy,0.76,Open,0.09,8,10,0.1,1,5,2.68,1,1,112,87.83,9.88,0.05,21
2025-02-24,Monday,Evening,Clinic_27,General,Rural,Follow-up,46,14.2,10,19,11,3,9,Storm,0.57,Moderate,0.14,6,0,0.0,3,6,2.21,0,0,54,19.09,4.09,0.17,4
2025-04-07,Monday,Evening,Clinic_21,Emergency,Rural,Routine,116,26.4,8,21,11,4,10,Storm,0.38,Strict,0.16,18,11,0.09,3,7,2.78,0,0,102,50.73,5.13,0.1,16
2024-12-15,Sunday,Afternoon,Clinic_29,Emergency,Urban,Urgent,48,23.9,9,12,5,0,6,Rain,0.32,Open,0.2,9,5,0.1,5,1,2.45,0,0,39,10.31,5.47,0.15,4
2025-04-09,Wednesday,Morning,Clinic_15,Maternal,Rural,Urgent,30,20.6,10,19,29,0,9,Storm,0.96,Moderate,0.06,1,3,0.1,8,1,4.22,0,0,55,19.54,4.16,0.16,6
2025-04-07,Monday,Afternoon,Clinic_15,Pediatric,Urban,Urgent,108,15.5,10,15,28,4,9,Rain,0.42,Strict,0.17,18,10,0.09,8,1,1.68,0,0,112,55.11,6.93,0.08,17
2025-05-22,Thursday,Afternoon,Clinic_23,Maternal,Urban,Routine,66,18.3,9,17,12,2,8,Cloudy,0.53,Strict,0.08,5,8,0.12,5,3,1.86,0,0,67,34.81,4.89,0.12,7
2025-05-13,Tuesday,Afternoon,Clinic_25,Chronic,Rural,Urgent,83,25.0,10,25,17,4,3,Rain,0.59,Moderate,0.17,14,10,0.12,2,1,4.03,0,1,80,58.45,20.82,0.04,14
2025-02-16,Sunday,Morning,Clinic_20,Emergency,Urban,Follow-up,85,21.8,10,0,20,0,9,Clear,0.71,Strict,0.08,6,8,0.09,7,2,2.15,0,0,91,24.75,7.64,0.1,9
2025-03-23,Sunday,Afternoon,Clinic_9,Chronic,Rural,Routine,89,19.4,10,17,10,0,7,Clear,1.0,Moderate,0.09,8,5,0.06,2,5,2.83,0,0,86,28.1,9.48,0.08,13
2025-04-21,Monday,Morning,Clinic_8,Maternal,Rural,Urgent,58,12.3,8,14,25,0,3,Storm,0.81,Strict,0.16,9,3,0.05,1,2,2.27,0,0,71,42.97,19.37,0.04,9
2025-04-22,Tuesday,Morning,Clinic_30,Pediatric,Rural,Follow-up,107,28.8,8,2,24,5,4,Rain,0.28,Moderate,0.16,17,11,0.1,1,3,3.41,1,0,108,70.56,19.94,0.04,19
2024-12-24,Tuesday,Evening,Clinic_11,General,Rural,Follow-up,117,12.1,9,20,24,0,3,Cloudy,0.77,Moderate,0.08,9,12,0.1,2,1,3.05,0,0,120,49.92,35.01,0.03,13
2024-12-22,Sunday,Evening,Clinic_19,Pediatric,Rural,Routine,52,26.6,8,8,28,4,7,Cloudy,0.4,Moderate,0.13,6,6,0.12,5,2,2.71,0,0,72,37.85,6.5,0.1,10
2024-12-10,Tuesday,Morning,Clinic_12,Pediatric,Rural,Follow-up,102,27.6,10,28,24,5,9,Storm,0.64,Open,0.08,8,8,0.08,8,1,2.66,0,0,115,48.57,7.92,0.08,13
2025-04-22,Tuesday,Afternoon,Clinic_15,General,Urban,Follow-up,54,14.4,10,7,7,1,9,Storm,0.73,Moderate,0.11,5,10,0.19,4,5,2.83,0,0,47,12.24,4.0,0.19,6
2025-01-26,Sunday,Afternoon,Clinic_9,Pediatric,Rural,Routine,90,12.4,8,10,22,4,8,Clear,0.79,Open,0.1,9,6,0.07,6,2,3.05,0,0,101,48.79,7.75,0.08,12
2025-05-28,Wednesday,Morning,Clinic_10,Maternal,Rural,Routine,53,16.0,10,17,11,1,10,Rain,0.42,Strict,0.07,3,8,0.15,9,1,2.79,0,1,54,37.01,1.7,0.19,13
2025-03-25,Tuesday,Afternoon,Clinic_16,Chronic,Rural,Follow-up,100,13.7,8,8,14,5,5,Cloudy,0.29,Strict,0.13,13,9,0.09,4,1,1.97,0,0,97,45.05,14.89,0.05,12
2025-03-11,Tuesday,Evening,Clinic_25,Chronic,Urban,Urgent,81,17.6,9,9,20,0,3,Cloudy,0.44,Open,0.05,4,7,0.09,2,1,2.74,0,0,90,44.68,25.53,0.03,14
2025-01-29,Wednesday,Morning,Clinic_6,Maternal,Urban,Urgent,37,11.5,8,13,24,5,4,Cloudy,0.75,Moderate,0.19,7,3,0.08,1,3,3.52,0,0,56,36.28,10.37,0.07,14
2025-02-09,Sunday,Morning,Clinic_30,Pediatric,Urban,Follow-up,67,12.3,8,20,6,1,7,Rain,0.93,Strict,0.15,10,8,0.12,6,1,1.9,0,0,56,20.25,5.97,0.12,8
2025-01-28,Tuesday,Afternoon,Clinic_23,Pediatric,Rural,Follow-up,39,20.0,9,14,6,1,7,Clear,0.68,Moderate,0.13,5,3,0.08,5,2,3.0,1,0,38,39.57,1.47,0.18,9
2025-04-27,Sunday,Afternoon,Clinic_19,General,Urban,Follow-up,71,20.4,9,29,24,2,3,Storm,0.35,Open,0.04,2,4,0.06,1,2,1.44,1,0,91,63.07,24.03,0.03,17
2025-05-22,Thursday,Morning,Clinic_11,Chronic,Rural,Follow-up,85,23.3,9,26,25,3,4,Clear,0.56,Moderate,0.1,8,9,0.11,2,2,1.63,0,0,96,50.37,18.96,0.04,15
2025-03-01,Saturday,Afternoon,Clinic_2,Maternal,Rural,Urgent,62,25.1,10,14,15,0,9,Clear,0.36,Open,0.18,11,3,0.05,1,8,2.61,0,0,63,23.39,4.66,0.14,5
2025-04-02,Wednesday,Morning,Clinic_18,Chronic,Urban,Routine,46,29.8,8,14,14,3,10,Clear,0.72,Strict,0.04,1,5,0.11,4,6,2.89,0,0,57,25.72,3.13,0.18,9
2025-03-15,Saturday,Evening,Clinic_5,Chronic,Urban,Urgent,93,20.2,8,27,27,2,7,Clear,0.42,Moderate,0.09,8,5,0.05,4,3,1.84,1,0,109,67.98,8.77,0.06,19
2025-01-03,Friday,Evening,Clinic_22,Chronic,Urban,Follow-up,73,20.8,9,10,30,4,7,Cloudy,0.56,Moderate,0.17,12,8,0.11,3,4,5.0,0,0,87,46.75,7.75,0.08,15
2025-02-28,Friday,Evening,Clinic_30,Chronic,Rural,Urgent,54,25.8,10,4,27,1,9,Cloudy,0.97,Strict,0.06,3,8,0.15,7,2,2.96,0,0,71,26.62,5.23,0.13,9
2025-03-27,Thursday,Morning,Clinic_24,Maternal,Rural,Urgent,94,29.4,8,15,23,2,4,Storm,0.47,Open,0.18,16,7,0.07,2,2,2.33,0,1,96,62.27,17.77,0.04,17
2024-12-28,Saturday,Evening,Clinic_23,Chronic,Urban,Urgent,80,11.4,10,21,25,0,8,Storm,1.0,Open,0.17,13,14,0.17,7,1,1.19,0,1,78,53.93,4.36,0.1,11
2025-02-26,Wednesday,Afternoon,Clinic_26,General,Rural,Follow-up,41,17.5,8,7,18,0,4,Cloudy,0.65,Strict,0.1,4,2,0.05,3,1,3.26,0,0,53,28.62,10.39,0.08,5
2025-01-15,Wednesday,Morning,Clinic_15,Pediatric,Rural,Follow-up,51,23.3,9,28,10,0,9,Storm,0.74,Strict,0.13,6,2,0.04,4,5,2.98,0,0,53,13.65,4.52,0.17,5
2025-05-21,Wednesday,Afternoon,Clinic_7,Chronic,Rural,Routine,39,14.7,10,11,19,2,7,Storm,0.99,Moderate,0.14,5,4,0.1,4,3,2.04,0,0,51,35.92,3.69,0.14,10
2025-04-14,Monday,Evening,Clinic_24,Chronic,Rural,Routine,32,22.1,9,7,26,3,7,Rain,0.7,Open,0.02,0,0,0.0,6,1,2.63,0,1,61,39.79,4.74,0.11,11
2025-03-11,Tuesday,Morning,Clinic_19,Pediatric,Urban,Routine,114,28.2,9,23,26,1,4,Cloudy,0.34,Strict,0.18,20,9,0.08,3,1,2.42,0,0,112,58.22,22.18,0.04,19
2024-12-11,Wednesday,Afternoon,Clinic_24,Pediatric,Urban,Follow-up,99,29.3,8,24,16,4,7,Rain,0.89,Open,0.17,16,6,0.06,3,4,2.27,1,1,97,77.33,6.12,0.07,19
2025-02-15,Saturday,Afternoon,Clinic_12,Pediatric,Rural,Urgent,116,28.8,8,21,17,4,8,Rain,0.58,Open,0.04,4,16,0.14,4,4,2.78,0,0,117,42.0,10.43,0.07,16
2025-05-31,Saturday,Afternoon,Clinic_4,Maternal,Urban,Routine,101,16.1,9,3,15,4,6,Clear,0.39,Open,0.14,14,16,0.16,4,2,3.22,1,0,90,59.2,9.08,0.07,15
2025-06-06,Friday,Evening,Clinic_24,Maternal,Rural,Urgent,47,12.0,9,19,17,3,8,Cloudy,0.95,Moderate,0.14,6,8,0.17,6,2,2.0,0,0,53,28.32,3.79,0.15,9
2025-02-01,Saturday,Evening,Clinic_12,Emergency,Rural,Routine,34,18.0,8,30,27,2,6,Clear,0.96,Moderate,0.1,3,0,0.0,2,4,2.46,0,0,60,13.49,8.65,0.1,2
2025-04-07,Monday,Evening,Clinic_7,General,Urban,Urgent,41,14.3,8,10,26,1,3,Rain,0.83,Open,0.03,1,3,0.07,2,1,1.63,0,0,64,43.96,16.94,0.05,7
2025-01-07,Tuesday,Morning,Clinic_1,Pediatric,Urban,Urgent,30,16.5,8,8,13,1,5,Clear,0.3,Moderate,0.12,3,1,0.03,2,3,2.59,0,1,40,44.21,3.58,0.12,7
2025-02-09,Sunday,Evening,Clinic_8,Emergency,Urban,Urgent,97,25.7,10,16,8,5,4,Storm,0.57,Strict,0.11,10,13,0.13,2,2,2.51,0,0,87,42.69,17.48,0.05,14
2025-01-24,Friday,Morning,Clinic_11,Emergency,Urban,Routine,37,12.5,10,20,20,3,9,Storm,0.5,Open,0.14,5,4,0.11,8,1,2.08,0,0,51,22.95,3.37,0.18,5
2025-05-12,Monday,Evening,Clinic_24,Maternal,Rural,Follow-up,97,27.8,9,10,14,3,9,Cloudy,0.52,Open,0.04,3,10,0.1,2,7,2.96,0,0,101,45.53,6.67,0.09,11
2025-01-12,Sunday,Afternoon,Clinic_3,General,Urban,Routine,42,18.6,10,23,15,3,8,Storm,0.85,Open,0.14,5,10,0.24,3,5,1.13,1,0,45,42.84,1.34,0.18,11
2025-04-26,Saturday,Afternoon,Clinic_28,General,Rural,Urgent,37,16.2,8,18,23,4,8,Rain,0.32,Moderate,0.14,5,4,0.11,4,4,2.06,0,0,55,26.56,4.22,0.15,6
2025-03-04,Tuesday,Evening,Clinic_25,Emergency,Urban,Urgent,58,28.6,10,8,8,2,8,Clear,0.34,Open,0.04,2,4,0.07,3,5,3.09,0,0,62,25.19,5.23,0.13,6
2025-04-12,Saturday,Morning,Clinic_24,General,Urban,Urgent,69,20.6,9,13,15,2,3,Cloudy,0.47,Moderate,0.05,3,9,0.13,1,2,2.72,0,0,74,44.26,20.24,0.04,13
2025-04-20,Sunday,Evening,Clinic_3,Pediatric,Rural,Urgent,69,18.5,10,14,28,2,4,Cloudy,0.42,Open,0.18,12,4,0.06,1,3,2.11,0,0,83,48.44,15.91,0.05,14
2025-03-10,Monday,Afternoon,Clinic_2,Maternal,Rural,Urgent,44,11.1,8,9,16,3,4,Rain,0.81,Moderate,0.07,3,4,0.09,3,1,2.58,0,0,56,39.09,10.09,0.07,8
2025-02-01,Saturday,Evening,Clinic_8,Emergency,Rural,Routine,67,17.9,10,1,15,0,3,Cloudy,0.21,Strict,0.11,7,8,0.12,2,1,2.36,0,0,67,35.51,18.78,0.04,12
2025-03-23,Sunday,Afternoon,Clinic_6,Emergency,Rural,Urgent,70,28.4,8,13,23,3,9,Clear,0.39,Open,0.15,10,9,0.13,7,2,3.07,0,0,77,40.53,4.5,0.12,11
2025-01-13,Monday,Morning,Clinic_17,General,Urban,Follow-up,81,17.0,10,26,21,0,9,Rain,0.39,Strict,0.18,14,10,0.12,6,3,2.28,0,0,78,33.42,5.32,0.12,10
2025-05-20,Tuesday,Afternoon,Clinic_15,Emergency,Rural,Urgent,62,28.5,10,20,11,1,5,Storm,0.89,Open,0.16,9,6,0.1,1,4,2.92,0,0,59,26.51,9.15,0.08,12
2025-05-15,Thursday,Morning,Clinic_12,Emergency,Urban,Follow-up,70,19.2,8,1,9,3,4,Storm,0.87,Strict,0.1,7,3,0.04,3,1,1.65,0,0,72,42.79,13.72,0.06,13
2024-12-12,Thursday,Evening,Clinic_7,Pediatric,Rural,Urgent,112,13.0,8,14,7,4,9,Clear,0.85,Moderate,0.1,11,13,0.12,1,8,2.94,0,0,99,40.04,7.0,0.09,11
2024-12-07,Saturday,Evening,Clinic_6,Pediatric,Rural,Follow-up,40,17.7,9,21,21,5,5,Clear,0.83,Open,0.03,1,4,0.1,4,1,2.03,1,0,61,59.88,6.21,0.08,13
2025-03-20,Thursday,Evening,Clinic_30,Emergency,Urban,Follow-up,72,11.6,10,4,7,2,4,Storm,0.45,Open,0.12,8,4,0.06,2,2,2.28,0,0,69,37.16,13.53,0.06,9
2025-01-24,Friday,Afternoon,Clinic_27,Maternal,Urban,Urgent,119,23.4,10,11,26,3,5,Clear,0.49,Strict,0.13,15,9,0.08,1,4,2.67,0,0,124,59.42,18.86,0.04,16
2025-02-09,Sunday,Morning,Clinic_17,Emergency,Urban,Urgent,57,16.7,10,4,15,3,6,Cloudy,0.32,Strict,0.06,3,4,0.07,2,4,2.66,0,0,68,24.86,8.85,0.09,5
2025-02-13,Thursday,Morning,Clinic_15,Emergency,Rural,Urgent,118,25.7,8,17,29,4,5,Rain,0.45,Moderate,0.15,17,9,0.08,1,4,2.35,0,0,125,62.45,18.75,0.04,21
2025-05-19,Monday,Afternoon,Clinic_6,Maternal,Urban,Follow-up,54,11.0,9,27,16,5,10,Storm,0.64,Strict,0.1,5,7,0.13,5,5,2.39,0,0,63,26.6,3.64,0.16,6
2025-06-03,Tuesday,Afternoon,Clinic_3,Maternal,Rural,Follow-up,96,28.6,9,1,8,2,4,Cloudy,0.6,Strict,0.16,15,9,0.09,2,2,2.3,0,0,82,44.41,16.06,0.05,12
2025-05-26,Monday,Morning,Clinic_5,General,Rural,Follow-up,79,23.9,8,24,7,2,6,Cloudy,0.56,Strict,0.03,2,9,0.11,1,5,3.57,0,0,77,32.66,9.57,0.08,11
2024-12-25,Wednesday,Afternoon,Clinic_4,Pediatric,Urban,Follow-up,40,12.4,8,13,5,2,6,Cloudy,0.25,Moderate,0.17,6,6,0.15,5,1,2.22,1,0,35,41.62,1.67,0.17,10
2024-12-30,Monday,Morning,Clinic_19,Chronic,Urban,Urgent,106,23.4,10,11,22,0,6,Clear,0.96,Open,0.15,15,10,0.09,3,3,1.96,0,0,103,45.92,12.57,0.06,15
2025-04-15,Tuesday,Afternoon,Clinic_9,General,Rural,Routine,94,16.9,10,21,30,4,3,Clear,0.82,Open,0.09,8,13,0.14,2,1,3.17,0,0,107,68.97,28.77,0.03,16
2025-04-19,Saturday,Evening,Clinic_15,Chronic,Urban,Routine,72,11.3,9,1,9,0,8,Storm,0.36,Strict,0.12,8,9,0.12,7,1,2.63,0,0,64,36.05,4.4,0.12,9
2025-02-03,Monday,Morning,Clinic_10,Pediatric,Urban,Urgent,35,16.6,8,25,15,2,9,Storm,0.55,Moderate,0.2,7,0,0.0,8,1,2.08,0,0,45,7.38,4.26,0.2,2
2025-04-28,Monday,Afternoon,Clinic_26,General,Rural,Routine,86,18.6,8,17,17,2,5,Storm,0.46,Strict,0.11,9,6,0.07,4,1,2.61,0,0,90,44.01,13.6,0.06,16
2025-02-14,Friday,Afternoon,Clinic_15,General,Rural,Urgent,71,30.0,9,20,26,2,7,Clear,0.26,Open,0.1,7,9,0.13,6,1,2.1,0,0,83,33.81,8.48,0.08,11
2025-02-03,Monday,Afternoon,Clinic_2,Maternal,Urban,Routine,81,25.6,9,11,16,4,5,Cloudy,0.96,Strict,0.19,15,4,0.05,2,3,3.78,0,0,82,49.2,11.48,0.06,12
2025-03-11,Tuesday,Morning,Clinic_17,Pediatric,Rural,Follow-up,107,23.0,8,30,9,5,10,Clear,0.22,Strict,0.19,20,5,0.05,6,4,3.45,0,0,96,38.53,5.75,0.1,15
2025-05-12,Monday,Evening,Clinic_10,Chronic,Urban,Routine,93,12.7,8,14,21,3,4,Rain,0.92,Moderate,0.07,6,4,0.04,2,2,2.08,0,0,107,49.93,21.76,0.04,14
2025-05-07,Wednesday,Afternoon,Clinic_28,Maternal,Urban,Follow-up,41,20.2,8,6,30,5,8,Rain,0.39,Moderate,0.14,5,2,0.05,6,2,2.94,0,0,69,28.46,5.78,0.12,7
2025-02-20,Thursday,Morning,Clinic_10,Chronic,Rural,Urgent,33,18.2,9,26,16,4,8,Clear,0.3,Moderate,0.1,3,3,0.09,5,3,2.86,0,1,47,41.46,1.73,0.17,7
2025-05-15,Thursday,Evening,Clinic_21,Emergency,Urban,Routine,112,18.7,8,26,7,3,10,Clear,0.61,Moderate,0.14,15,6,0.05,6,4,3.39,0,0,101,38.26,6.27,0.1,11
2025-01-08,Wednesday,Afternoon,Clinic_7,Emergency,Rural,Routine,51,22.5,10,17,10,2,6,Clear,0.6,Strict,0.08,4,9,0.18,5,1,2.58,0,0,50,32.2,5.11,0.12,9
2024-12-20,Friday,Morning,Clinic_3,General,Rural,Urgent,105,14.2,10,13,23,1,5,Clear,0.6,Open,0.14,14,16,0.15,3,2,3.73,0,0,99,48.26,14.97,0.05,16
2025-02-05,Wednesday,Evening,Clinic_2,Maternal,Rural,Follow-up,99,19.7,8,10,14,5,7,Rain,0.45,Open,0.11,10,11,0.11,6,1,3.46,0,0,97,40.38,9.82,0.07,14
2025-06-02,Monday,Morning,Clinic_15,General,Rural,Follow-up,70,15.0,8,1,28,2,9,Storm,0.96,Open,0.04,2,10,0.14,6,3,1.27,0,0,88,29.08,6.87,0.1,5
2025-03-16,Sunday,Afternoon,Clinic_17,Chronic,Rural,Follow-up,83,19.9,8,30,12,1,8,Cloudy,0.6,Strict,0.19,15,7,0.08,6,2,3.0,0,0,74,38.91,5.36,0.11,12
2025-04-12,Saturday,Evening,Clinic_16,Pediatric,Urban,Routine,57,18.6,9,23,23,2,3,Storm,0.81,Moderate,0.03,1,10,0.18,2,1,1.53,0,0,71,32.08,20.46,0.04,9
2024-12-27,Friday,Evening,Clinic_9,Emergency,Urban,Routine,35,29.5,9,11,17,0,6,Storm,0.65,Moderate,0.09,3,4,0.11,3,3,2.48,0,0,45,11.66,6.33,0.13,3
2025-05-11,Sunday,Afternoon,Clinic_17,Chronic,Urban,Urgent,48,27.9,8,10,11,4,9,Storm,0.33,Open,0.11,5,0,0.0,1,8,2.97,0,0,58,24.73,3.97,0.16,5
2025-05-04,Sunday,Afternoon,Clinic_22,General,Rural,Urgent,68,16.2,10,27,23,2,10,Clear,0.68,Moderate,0.15,10,5,0.07,5,5,1.76,0,0,78,29.59,4.84,0.13,11
2025-03-05,Wednesday,Evening,Clinic_20,Chronic,Urban,Urgent,113,14.8,10,30,30,4,6,Clear,0.35,Moderate,0.15,16,8,0.07,5,1,2.85,0,0,123,55.25,14.97,0.05,15
2024-12-23,Monday,Afternoon,Clinic_28,General,Urban,Urgent,70,14.1,9,21,18,1,9,Cloudy,0.62,Moderate,0.14,9,6,0.09,7,2,1.78,0,0,74,25.73,5.65,0.12,6
2025-05-27,Tuesday,Evening,Clinic_26,Pediatric,Rural,Routine,52,29.1,9,17,19,4,8,Storm,0.38,Moderate,0.12,6,11,0.21,6,2,2.52,0,0,58,26.6,4.59,0.14,8
2025-01-06,Monday,Evening,Clinic_9,Pediatric,Urban,Urgent,66,23.5,9,28,27,1,10,Cloudy,0.85,Strict,0.08,5,6,0.09,6,4,2.35,0,1,83,47.87,3.51,0.12,14
2025-01-15,Wednesday,Morning,Clinic_7,Emergency,Rural,Urgent,67,23.9,8,3,6,2,4,Rain,0.39,Open,0.08,5,5,0.07,2,2,2.1,0,0,65,31.72,13.08,0.06,5
2025-05-26,Monday,Evening,Clinic_25,Maternal,Urban,Urgent,97,29.6,8,13,12,5,6,Cloudy,0.58,Strict,0.03,2,5,0.05,4,2,3.46,0,0,107,53.82,12.45,0.06,15
2025-04-30,Wednesday,Evening,Clinic_24,General,Urban,Follow-up,66,27.6,8,29,15,2,3,Clear,1.0,Moderate,0.18,11,8,0.12,1,2,2.72,0,0,64,54.69,15.86,0.05,16
2025-03-20,Thursday,Afternoon,Clinic_10,Chronic,Rural,Routine,93,27.0,9,8,10,5,7,Rain,0.85,Moderate,0.18,16,8,0.09,1,6,1.83,0,0,84,33.37,8.66,0.08,11
2025-03-17,Monday,Evening,Clinic_22,Maternal,Urban,Urgent,50,27.1,9,26,28,3,7,Cloudy,0.61,Strict,0.15,7,2,0.04,1,6,1.5,0,0,72,31.27,7.16,0.1,6
2025-04-11,Friday,Afternoon,Clinic_13,Maternal,Rural,Follow-up,81,29.1,9,18,26,0,5,Clear,0.41,Moderate,0.2,16,13,0.16,4,1,3.12,0,0,78,42.26,11.37,0.06,15
2025-05-19,Monday,Evening,Clinic_25,Pediatric,Urban,Urgent,118,28.3,9,11,12,0,4,Rain,0.38,Strict,0.1,11,12,0.1,1,3,1.9,0,0,107,56.02,21.15,0.04,18
2025-02-14,Friday,Evening,Clinic_27,Maternal,Urban,Urgent,91,25.1,8,16,9,3,8,Cloudy,0.62,Moderate,0.09,8,5,0.05,5,3,2.37,1,0,90,50.92,6.16,0.09,11
2025-04-09,Wednesday,Afternoon,Clinic_28,Emergency,Rural,Routine,39,23.6,10,18,23,0,3,Cloudy,0.27,Open,0.17,6,6,0.15,1,2,3.84,0,0,50,25.21,14.15,0.06,8
2025-03-25,Tuesday,Afternoon,Clinic_22,Pediatric,Urban,Follow-up,87,15.1,8,23,30,0,10,Rain,0.66,Strict,0.04,3,6,0.07,7,3,2.16,0,0,108,33.14,7.49,0.09,9
2024-12-17,Tuesday,Afternoon,Clinic_2,Pediatric,Rural,Routine,84,25.4,10,23,16,5,4,Cloudy,0.5,Moderate,0.12,10,8,0.1,1,3,1.92,1,0,87,69.05,14.85,0.05,17
